match_id,home_team,away_team,slug
15186747,Algeria,Austria,austria-algeria
15186734,Jordan,Argentina,argentina-jordan
12813000,South Africa,Canada,canada-south-africa
12813012,Brazil,Japan,japan-brazil
12813014,Germany,Paraguay,paraguay-germany
12812998,Netherlands,Morocco,morocco-netherlands
12812989,Côte d'Ivoire,Norway,cote-divoire-norway
12812995,France,Sweden,sweden-france
12813001,Mexico,Ecuador,mexico-ecuador
12813020,England,DR Congo,dr-congo-england
12813013,Belgium,Senegal,senegal-belgium
12812992,USA,Bosnia & Herzegovina,usa-bosnia-and-herzegovina
12813004,Spain,Austria,austria-spain
12812997,Portugal,Croatia,croatia-portugal
12813019,Switzerland,Algeria,switzerland-algeria
12813018,Australia,Egypt,egypt-australia
12812999,Argentina,Cabo Verde,argentina-cabo-verde
12813011,Colombia,Ghana,colombia-ghana
12813009,Canada,Morocco,morocco-canada
12813010,Paraguay,France,paraguay-france
12813006,Brazil,Norway,brazil-norway
12813007,Mexico,England,mexico-england
12812990,Portugal,Spain,portugal-spain
12813002,USA,Belgium,usa-belgium
12812993,Argentina,Egypt,argentina-egypt
12812991,Switzerland,Colombia,colombia-switzerland
12813016,France,Morocco,morocco-france
12812994,Spain,Belgium,belgium-spain
12813017,Norway,England,england-norway
12813015,Argentina,Switzerland,argentina-switzerland
15186502,Argentina,Austria,argentina-austria
15186769,France,Iraq,iraq-france
15186770,Norway,Senegal,senegal-norway
15186740,Jordan,Algeria,jordan-algeria
15186858,Portugal,Uzbekistan,uzbekistan-portugal
15186672,England,Ghana,ghana-england
15186520,Panama,Croatia,panama-croatia
15186713,Colombia,DR Congo,dr-congo-colombia
15186829,Bosnia & Herzegovina,Qatar,qatar-bosnia-and-herzegovina
15186821,Switzerland,Canada,canada-switzerland
15186864,Morocco,Haiti,haiti-morocco
15186861,Scotland,Brazil,brazil-scotland
15186744,South Africa,South Korea,south-africa-south-korea
15186732,Czechia,Mexico,mexico-czechia
15186908,Curaçao,Côte d'Ivoire,curacao-cote-divoire
15186907,Ecuador,Germany,ecuador-germany
15186972,Japan,Sweden,japan-sweden
15186973,Tunisia,Netherlands,tunisia-netherlands
15186891,Paraguay,Australia,paraguay-australia
15186887,Türkiye,USA,usa-turkiye
15186771,Senegal,Iraq,iraq-senegal
15186537,Norway,France,france-norway
15186803,Cabo Verde,Saudi Arabia,saudi-arabia-cabo-verde
15186841,Uruguay,Spain,uruguay-spain
15186822,New Zealand,Belgium,new-zealand-belgium
15186828,Egypt,Iran,iran-egypt
15186624,Croatia,Ghana,ghana-croatia
15186676,Panama,England,panama-england
15186717,DR Congo,Uzbekistan,dr-congo-uzbekistan
15186696,Colombia,Portugal,colombia-portugal
15186904,Côte d'Ivoire,Ecuador,cote-divoire-ecuador
15186951,Sweden,Tunisia,tunisia-sweden
15186783,Spain,Cabo Verde,cabo-verde-spain
15186837,Belgium,Egypt,egypt-belgium
15186811,Saudi Arabia,Uruguay,saudi-arabia-uruguay
15186832,Iran,New Zealand,new-zealand-iran
15186501,France,Senegal,senegal-france
15186773,Iraq,Norway,iraq-norway
15186854,Argentina,Algeria,argentina-algeria
15186751,Austria,Jordan,jordan-austria
15186709,Portugal,DR Congo,dr-congo-portugal
15186504,England,Croatia,croatia-england
15186687,Ghana,Panama,panama-ghana
15186722,Uzbekistan,Colombia,colombia-uzbekistan
15186731,Czechia,South Africa,south-africa-czechia
15186806,Switzerland,Bosnia & Herzegovina,switzerland-bosnia-and-herzegovina
15186798,Canada,Qatar,qatar-canada
15186490,Mexico,South Korea,mexico-south-korea
15186878,USA,Australia,australia-usa
15186859,Scotland,Morocco,morocco-scotland
15186856,Brazil,Haiti,haiti-brazil
15186879,Türkiye,Paraguay,paraguay-turkiye
15186957,Netherlands,Sweden,netherlands-sweden
15186905,Germany,Côte d'Ivoire,cote-divoire-germany
15186906,Ecuador,Curaçao,curacao-ecuador
15186963,Tunisia,Japan,japan-tunisia
15186840,Spain,Saudi Arabia,saudi-arabia-spain
15186499,Belgium,Iran,iran-belgium
15186800,Uruguay,Cabo Verde,cabo-verde-uruguay
15186827,New Zealand,Egypt,new-zealand-egypt
15186710,Mexico,South Africa,mexico-south-africa
15186720,South Korea,Czechia,south-korea-czechia
15186836,Canada,Bosnia & Herzegovina,canada-bosnia-and-herzegovina
15186873,USA,Paraguay,paraguay-usa
15186526,Qatar,Switzerland,qatar-switzerland
15186850,Brazil,Morocco,morocco-brazil
15186853,Haiti,Scotland,haiti-scotland
15186874,Australia,Türkiye,australia-turkiye
15186899,Germany,Curaçao,curacao-germany
15186945,Netherlands,Japan,japan-netherlands
